coin,ret_mean,vol_mean,volume_mean,dd_min,cluster
avalanche-2,-0.0031580443581358,0.0486119413252633,570774914.3667139,-0.7400903633329015,0
binancecoin,0.000688278042567,0.0262785500201257,1611263047.7834003,-0.3691546190764264,2
bitcoin,-0.0002872912736611,0.0214068102722954,45129734131.34853,-0.3213092627413069,2
cardano,-0.0023266736187526,0.0494813859923947,1229692264.4381642,-0.6913312775566776,0
dogecoin,-0.00237520761157,0.049276000371914,2650945712.708396,-0.7059887298299599,0
ethereum,-0.0003769683676075,0.0390252460187469,27777714234.543083,-0.600948430413823,1
polkadot,-0.003613525184432,0.0441333242239796,275379116.626944,-0.7736195427091197,0
ripple,-0.0004555420460125,0.0417222209948224,5310369287.05323,-0.4917135413868402,1
shiba-inu,-0.0028740951416371,0.0402637983231165,256258834.2946504,-0.7121436253103569,0
solana,-0.0011688971582552,0.0445231087410124,6542045710.454687,-0.5982407317491023,1
