coin,ret_mean,vol_mean,volume_mean,dd_min,cluster
avalanche-2,-0.0036504942001157545,0.04910973417862681,579326639.0573767,-0.7637733208991545,0
binancecoin,0.0005555497826625532,0.026229927051451763,1591047414.9096313,-0.3691546190764264,2
bitcoin,-0.00022879030329994973,0.02138039760456839,44879449369.77758,-0.3213092627413069,2
cardano,-0.002828336528857689,0.04993626446018325,1256698070.2194533,-0.687010456430767,0
dogecoin,-0.003094227146679775,0.04981868595554955,2779008002.942132,-0.7089444994511304,0
ethereum,-0.0006173206472141566,0.03891076018849634,27890525897.568886,-0.6336053905174784,1
polkadot,-0.004375895181842847,0.044487193020100436,289348481.7842279,-0.8095915435341271,0
ripple,-0.00028719813521940925,0.04222766483306255,5529140271.772908,-0.4581630822325388,1
shiba-inu,-0.0035861081033332826,0.04069877347025081,285508596.01852727,-0.7580461273535417,0
solana,-0.0015938628187111851,0.044688310258597645,6532803374.810521,-0.5982407317491023,1
